Borehole,Model,Date,Sim,Obs
Northfield Farm,AquiMod,01/01/1962,108.226,
Northfield Farm,AquiMod,02/01/1962,108.232,
Northfield Farm,AquiMod,03/01/1962,108.238,
Northfield Farm,AquiMod,04/01/1962,108.243,
Northfield Farm,AquiMod,05/01/1962,108.253,
Northfield Farm,AquiMod,06/01/1962,108.272,
Northfield Farm,AquiMod,07/01/1962,108.292,
Northfield Farm,AquiMod,08/01/1962,108.316,
Northfield Farm,AquiMod,09/01/1962,108.342,
Northfield Farm,AquiMod,10/01/1962,108.372,
Northfield Farm,AquiMod,11/01/1962,108.406,
Northfield Farm,AquiMod,12/01/1962,108.441,
Northfield Farm,AquiMod,13/01/1962,108.476,
Northfield Farm,AquiMod,14/01/1962,108.51,
Northfield Farm,AquiMod,15/01/1962,108.546,
Northfield Farm,AquiMod,16/01/1962,108.583,
Northfield Farm,AquiMod,17/01/1962,108.621,
Northfield Farm,AquiMod,18/01/1962,108.659,
Northfield Farm,AquiMod,19/01/1962,108.698,
Northfield Farm,AquiMod,20/01/1962,108.737,
Northfield Farm,AquiMod,21/01/1962,108.783,
Northfield Farm,AquiMod,22/01/1962,108.829,
Northfield Farm,AquiMod,23/01/1962,108.876,
Northfield Farm,AquiMod,24/01/1962,108.923,
Northfield Farm,AquiMod,25/01/1962,108.97,
Northfield Farm,AquiMod,26/01/1962,109.017,
Northfield Farm,AquiMod,27/01/1962,109.063,
Northfield Farm,AquiMod,28/01/1962,109.109,
Northfield Farm,AquiMod,29/01/1962,109.154,
Northfield Farm,AquiMod,30/01/1962,109.198,
Northfield Farm,AquiMod,31/01/1962,109.243,
Northfield Farm,AquiMod,01/02/1962,109.287,
Northfield Farm,AquiMod,02/02/1962,109.331,
Northfield Farm,AquiMod,03/02/1962,109.374,
Northfield Farm,AquiMod,04/02/1962,109.416,
Northfield Farm,AquiMod,05/02/1962,109.457,
Northfield Farm,AquiMod,06/02/1962,109.497,
Northfield Farm,AquiMod,07/02/1962,109.536,
Northfield Farm,AquiMod,08/02/1962,109.574,
Northfield Farm,AquiMod,09/02/1962,109.611,
Northfield Farm,AquiMod,10/02/1962,109.647,
Northfield Farm,AquiMod,11/02/1962,109.682,
Northfield Farm,AquiMod,12/02/1962,109.716,
Northfield Farm,AquiMod,13/02/1962,109.748,
Northfield Farm,AquiMod,14/02/1962,109.78,
Northfield Farm,AquiMod,15/02/1962,109.81,
Northfield Farm,AquiMod,16/02/1962,109.84,
Northfield Farm,AquiMod,17/02/1962,109.868,
Northfield Farm,AquiMod,18/02/1962,109.895,
Northfield Farm,AquiMod,19/02/1962,109.92,
Northfield Farm,AquiMod,20/02/1962,109.945,
Northfield Farm,AquiMod,21/02/1962,109.969,
Northfield Farm,AquiMod,22/02/1962,109.991,
Northfield Farm,AquiMod,23/02/1962,110.013,
Northfield Farm,AquiMod,24/02/1962,110.033,
Northfield Farm,AquiMod,25/02/1962,110.052,
Northfield Farm,AquiMod,26/02/1962,110.07,
Northfield Farm,AquiMod,27/02/1962,110.088,
Northfield Farm,AquiMod,28/02/1962,110.104,
Northfield Farm,AquiMod,01/03/1962,110.119,
Northfield Farm,AquiMod,02/03/1962,110.133,
Northfield Farm,AquiMod,03/03/1962,110.146,
Northfield Farm,AquiMod,04/03/1962,110.158,
Northfield Farm,AquiMod,05/03/1962,110.169,
Northfield Farm,AquiMod,06/03/1962,110.179,
Northfield Farm,AquiMod,07/03/1962,110.188,
Northfield Farm,AquiMod,08/03/1962,110.196,
Northfield Farm,AquiMod,09/03/1962,110.204,
Northfield Farm,AquiMod,10/03/1962,110.21,
Northfield Farm,AquiMod,11/03/1962,110.216,
Northfield Farm,AquiMod,12/03/1962,110.221,
Northfield Farm,AquiMod,13/03/1962,110.225,
Northfield Farm,AquiMod,14/03/1962,110.229,
Northfield Farm,AquiMod,15/03/1962,110.231,
Northfield Farm,AquiMod,16/03/1962,110.233,
Northfield Farm,AquiMod,17/03/1962,110.234,
Northfield Farm,AquiMod,18/03/1962,110.235,
Northfield Farm,AquiMod,19/03/1962,110.235,
Northfield Farm,AquiMod,20/03/1962,110.234,
Northfield Farm,AquiMod,21/03/1962,110.232,
Northfield Farm,AquiMod,22/03/1962,110.23,
Northfield Farm,AquiMod,23/03/1962,110.227,
Northfield Farm,AquiMod,24/03/1962,110.224,
Northfield Farm,AquiMod,25/03/1962,110.22,
Northfield Farm,AquiMod,26/03/1962,110.215,
Northfield Farm,AquiMod,27/03/1962,110.21,
Northfield Farm,AquiMod,28/03/1962,110.204,
Northfield Farm,AquiMod,29/03/1962,110.198,
Northfield Farm,AquiMod,30/03/1962,110.191,
Northfield Farm,AquiMod,31/03/1962,110.184,
Northfield Farm,AquiMod,01/04/1962,110.176,
Northfield Farm,AquiMod,02/04/1962,110.168,
Northfield Farm,AquiMod,03/04/1962,110.16,
Northfield Farm,AquiMod,04/04/1962,110.154,
Northfield Farm,AquiMod,05/04/1962,110.148,
Northfield Farm,AquiMod,06/04/1962,110.141,
Northfield Farm,AquiMod,07/04/1962,110.134,
Northfield Farm,AquiMod,08/04/1962,110.128,
Northfield Farm,AquiMod,09/04/1962,110.122,
Northfield Farm,AquiMod,10/04/1962,110.116,
Northfield Farm,AquiMod,11/04/1962,110.109,
Northfield Farm,AquiMod,12/04/1962,110.102,
Northfield Farm,AquiMod,13/04/1962,110.094,
Northfield Farm,AquiMod,14/04/1962,110.086,
Northfield Farm,AquiMod,15/04/1962,110.078,
Northfield Farm,AquiMod,16/04/1962,110.069,
Northfield Farm,AquiMod,17/04/1962,110.06,
Northfield Farm,AquiMod,18/04/1962,110.05,
Northfield Farm,AquiMod,19/04/1962,110.04,
Northfield Farm,AquiMod,20/04/1962,110.03,
Northfield Farm,AquiMod,21/04/1962,110.019,
Northfield Farm,AquiMod,22/04/1962,110.008,
Northfield Farm,AquiMod,23/04/1962,109.997,
Northfield Farm,AquiMod,24/04/1962,109.985,
Northfield Farm,AquiMod,25/04/1962,109.973,
Northfield Farm,AquiMod,26/04/1962,109.96,
Northfield Farm,AquiMod,27/04/1962,109.948,
Northfield Farm,AquiMod,28/04/1962,109.935,
Northfield Farm,AquiMod,29/04/1962,109.921,
Northfield Farm,AquiMod,30/04/1962,109.908,
Northfield Farm,AquiMod,01/05/1962,109.893,
Northfield Farm,AquiMod,02/05/1962,109.878,
Northfield Farm,AquiMod,03/05/1962,109.862,
Northfield Farm,AquiMod,04/05/1962,109.847,
Northfield Farm,AquiMod,05/05/1962,109.83,
Northfield Farm,AquiMod,06/05/1962,109.814,
Northfield Farm,AquiMod,07/05/1962,109.797,
Northfield Farm,AquiMod,08/05/1962,109.781,
Northfield Farm,AquiMod,09/05/1962,109.764,
Northfield Farm,AquiMod,10/05/1962,109.746,
Northfield Farm,AquiMod,11/05/1962,109.729,
Northfield Farm,AquiMod,12/05/1962,109.711,
Northfield Farm,AquiMod,13/05/1962,109.694,
Northfield Farm,AquiMod,14/05/1962,109.676,
Northfield Farm,AquiMod,15/05/1962,109.657,
Northfield Farm,AquiMod,16/05/1962,109.639,
Northfield Farm,AquiMod,17/05/1962,109.621,
Northfield Farm,AquiMod,18/05/1962,109.602,
Northfield Farm,AquiMod,19/05/1962,109.583,
Northfield Farm,AquiMod,20/05/1962,109.564,
Northfield Farm,AquiMod,21/05/1962,109.545,
Northfield Farm,AquiMod,22/05/1962,109.526,
Northfield Farm,AquiMod,23/05/1962,109.506,
Northfield Farm,AquiMod,24/05/1962,109.487,
Northfield Farm,AquiMod,25/05/1962,109.467,
Northfield Farm,AquiMod,26/05/1962,109.447,
Northfield Farm,AquiMod,27/05/1962,109.427,
Northfield Farm,AquiMod,28/05/1962,109.406,
Northfield Farm,AquiMod,29/05/1962,109.386,
Northfield Farm,AquiMod,30/05/1962,109.365,
Northfield Farm,AquiMod,31/05/1962,109.345,
Northfield Farm,AquiMod,01/06/1962,109.324,
Northfield Farm,AquiMod,02/06/1962,109.303,
Northfield Farm,AquiMod,03/06/1962,109.282,
Northfield Farm,AquiMod,04/06/1962,109.261,
Northfield Farm,AquiMod,05/06/1962,109.24,
Northfield Farm,AquiMod,06/06/1962,109.219,
Northfield Farm,AquiMod,07/06/1962,109.198,
Northfield Farm,AquiMod,08/06/1962,109.176,
Northfield Farm,AquiMod,09/06/1962,109.155,
Northfield Farm,AquiMod,10/06/1962,109.132,
Northfield Farm,AquiMod,11/06/1962,109.109,
Northfield Farm,AquiMod,12/06/1962,109.086,
Northfield Farm,AquiMod,13/06/1962,109.062,
Northfield Farm,AquiMod,14/06/1962,109.038,
Northfield Farm,AquiMod,15/06/1962,109.014,
Northfield Farm,AquiMod,16/06/1962,108.99,
Northfield Farm,AquiMod,17/06/1962,108.966,
Northfield Farm,AquiMod,18/06/1962,108.942,
Northfield Farm,AquiMod,19/06/1962,108.918,
Northfield Farm,AquiMod,20/06/1962,108.894,
Northfield Farm,AquiMod,21/06/1962,108.87,
Northfield Farm,AquiMod,22/06/1962,108.846,
Northfield Farm,AquiMod,23/06/1962,108.822,
Northfield Farm,AquiMod,24/06/1962,108.798,
Northfield Farm,AquiMod,25/06/1962,108.773,
Northfield Farm,AquiMod,26/06/1962,108.749,
Northfield Farm,AquiMod,27/06/1962,108.724,
Northfield Farm,AquiMod,28/06/1962,108.7,
Northfield Farm,AquiMod,29/06/1962,108.675,
Northfield Farm,AquiMod,30/06/1962,108.65,
Northfield Farm,AquiMod,01/07/1962,108.625,
Northfield Farm,AquiMod,02/07/1962,108.6,
Northfield Farm,AquiMod,03/07/1962,108.575,
Northfield Farm,AquiMod,04/07/1962,108.55,
Northfield Farm,AquiMod,05/07/1962,108.526,
Northfield Farm,AquiMod,06/07/1962,108.501,
Northfield Farm,AquiMod,07/07/1962,108.476,
Northfield Farm,AquiMod,08/07/1962,108.452,
Northfield Farm,AquiMod,09/07/1962,108.427,
Northfield Farm,AquiMod,10/07/1962,108.402,
Northfield Farm,AquiMod,11/07/1962,108.378,
Northfield Farm,AquiMod,12/07/1962,108.354,
Northfield Farm,AquiMod,13/07/1962,108.329,
Northfield Farm,AquiMod,14/07/1962,108.305,
Northfield Farm,AquiMod,15/07/1962,108.281,
Northfield Farm,AquiMod,16/07/1962,108.257,
Northfield Farm,AquiMod,17/07/1962,108.232,
Northfield Farm,AquiMod,18/07/1962,108.208,
Northfield Farm,AquiMod,19/07/1962,108.184,
Northfield Farm,AquiMod,20/07/1962,108.159,
Northfield Farm,AquiMod,21/07/1962,108.135,
Northfield Farm,AquiMod,22/07/1962,108.109,
Northfield Farm,AquiMod,23/07/1962,108.084,
Northfield Farm,AquiMod,24/07/1962,108.058,
Northfield Farm,AquiMod,25/07/1962,108.033,
Northfield Farm,AquiMod,26/07/1962,108.008,
Northfield Farm,AquiMod,27/07/1962,107.982,
Northfield Farm,AquiMod,28/07/1962,107.956,
Northfield Farm,AquiMod,29/07/1962,107.931,
Northfield Farm,AquiMod,30/07/1962,107.905,
Northfield Farm,AquiMod,31/07/1962,107.879,
Northfield Farm,AquiMod,01/08/1962,107.854,
Northfield Farm,AquiMod,02/08/1962,107.828,
Northfield Farm,AquiMod,03/08/1962,107.802,
Northfield Farm,AquiMod,04/08/1962,107.777,
Northfield Farm,AquiMod,05/08/1962,107.751,
Northfield Farm,AquiMod,06/08/1962,107.736,
Northfield Farm,AquiMod,07/08/1962,107.722,
Northfield Farm,AquiMod,08/08/1962,107.71,
Northfield Farm,AquiMod,09/08/1962,107.697,
Northfield Farm,AquiMod,10/08/1962,107.685,
Northfield Farm,AquiMod,11/08/1962,107.673,
Northfield Farm,AquiMod,12/08/1962,107.661,
Northfield Farm,AquiMod,13/08/1962,107.65,
Northfield Farm,AquiMod,14/08/1962,107.639,
Northfield Farm,AquiMod,15/08/1962,107.629,
Northfield Farm,AquiMod,16/08/1962,107.621,
Northfield Farm,AquiMod,17/08/1962,107.614,
Northfield Farm,AquiMod,18/08/1962,107.606,
Northfield Farm,AquiMod,19/08/1962,107.599,
Northfield Farm,AquiMod,20/08/1962,107.591,
Northfield Farm,AquiMod,21/08/1962,107.584,
Northfield Farm,AquiMod,22/08/1962,107.577,
Northfield Farm,AquiMod,23/08/1962,107.57,
Northfield Farm,AquiMod,24/08/1962,107.561,
Northfield Farm,AquiMod,25/08/1962,107.552,
Northfield Farm,AquiMod,26/08/1962,107.541,
Northfield Farm,AquiMod,27/08/1962,107.531,
Northfield Farm,AquiMod,28/08/1962,107.52,
Northfield Farm,AquiMod,29/08/1962,107.508,
Northfield Farm,AquiMod,30/08/1962,107.496,
Northfield Farm,AquiMod,31/08/1962,107.484,
Northfield Farm,AquiMod,01/09/1962,107.471,
Northfield Farm,AquiMod,02/09/1962,107.459,
Northfield Farm,AquiMod,03/09/1962,107.446,
Northfield Farm,AquiMod,04/09/1962,107.433,
Northfield Farm,AquiMod,05/09/1962,107.42,
Northfield Farm,AquiMod,06/09/1962,107.409,
Northfield Farm,AquiMod,07/09/1962,107.398,
Northfield Farm,AquiMod,08/09/1962,107.387,
Northfield Farm,AquiMod,09/09/1962,107.374,
Northfield Farm,AquiMod,10/09/1962,107.362,
Northfield Farm,AquiMod,11/09/1962,107.352,
Northfield Farm,AquiMod,12/09/1962,107.341,
Northfield Farm,AquiMod,13/09/1962,107.331,
Northfield Farm,AquiMod,14/09/1962,107.321,
Northfield Farm,AquiMod,15/09/1962,107.31,
Northfield Farm,AquiMod,16/09/1962,107.3,
Northfield Farm,AquiMod,17/09/1962,107.289,
Northfield Farm,AquiMod,18/09/1962,107.279,
Northfield Farm,AquiMod,19/09/1962,107.268,
Northfield Farm,AquiMod,20/09/1962,107.257,
Northfield Farm,AquiMod,21/09/1962,107.246,
Northfield Farm,AquiMod,22/09/1962,107.236,
Northfield Farm,AquiMod,23/09/1962,107.225,
Northfield Farm,AquiMod,24/09/1962,107.214,
Northfield Farm,AquiMod,25/09/1962,107.203,
Northfield Farm,AquiMod,26/09/1962,107.191,
Northfield Farm,AquiMod,27/09/1962,107.18,
Northfield Farm,AquiMod,28/09/1962,107.169,
Northfield Farm,AquiMod,29/09/1962,107.163,
Northfield Farm,AquiMod,30/09/1962,107.157,
Northfield Farm,AquiMod,01/10/1962,107.155,
Northfield Farm,AquiMod,02/10/1962,107.153,
Northfield Farm,AquiMod,03/10/1962,107.151,
Northfield Farm,AquiMod,04/10/1962,107.15,
Northfield Farm,AquiMod,05/10/1962,107.148,
Northfield Farm,AquiMod,06/10/1962,107.147,
Northfield Farm,AquiMod,07/10/1962,107.146,
Northfield Farm,AquiMod,08/10/1962,107.144,
Northfield Farm,AquiMod,09/10/1962,107.143,
Northfield Farm,AquiMod,10/10/1962,107.141,
Northfield Farm,AquiMod,11/10/1962,107.14,
Northfield Farm,AquiMod,12/10/1962,107.138,
Northfield Farm,AquiMod,13/10/1962,107.136,
Northfield Farm,AquiMod,14/10/1962,107.134,
Northfield Farm,AquiMod,15/10/1962,107.132,
Northfield Farm,AquiMod,16/10/1962,107.13,
Northfield Farm,AquiMod,17/10/1962,107.127,
Northfield Farm,AquiMod,18/10/1962,107.125,
Northfield Farm,AquiMod,19/10/1962,107.122,
Northfield Farm,AquiMod,20/10/1962,107.12,
Northfield Farm,AquiMod,21/10/1962,107.117,
Northfield Farm,AquiMod,22/10/1962,107.114,
Northfield Farm,AquiMod,23/10/1962,107.11,
Northfield Farm,AquiMod,24/10/1962,107.107,
Northfield Farm,AquiMod,25/10/1962,107.103,
Northfield Farm,AquiMod,26/10/1962,107.1,
Northfield Farm,AquiMod,27/10/1962,107.096,
Northfield Farm,AquiMod,28/10/1962,107.092,
Northfield Farm,AquiMod,29/10/1962,107.089,
Northfield Farm,AquiMod,30/10/1962,107.086,
Northfield Farm,AquiMod,31/10/1962,107.083,
Northfield Farm,AquiMod,01/11/1962,107.085,
Northfield Farm,AquiMod,02/11/1962,107.092,
Northfield Farm,AquiMod,03/11/1962,107.1,
Northfield Farm,AquiMod,04/11/1962,107.11,
Northfield Farm,AquiMod,05/11/1962,107.121,
Northfield Farm,AquiMod,06/11/1962,107.132,
Northfield Farm,AquiMod,07/11/1962,107.144,
Northfield Farm,AquiMod,08/11/1962,107.155,
Northfield Farm,AquiMod,09/11/1962,107.167,
Northfield Farm,AquiMod,10/11/1962,107.179,
Northfield Farm,AquiMod,11/11/1962,107.19,
Northfield Farm,AquiMod,12/11/1962,107.202,
Northfield Farm,AquiMod,13/11/1962,107.213,
Northfield Farm,AquiMod,14/11/1962,107.224,
Northfield Farm,AquiMod,15/11/1962,107.235,
Northfield Farm,AquiMod,16/11/1962,107.248,
Northfield Farm,AquiMod,17/11/1962,107.264,
Northfield Farm,AquiMod,18/11/1962,107.281,
Northfield Farm,AquiMod,19/11/1962,107.297,
Northfield Farm,AquiMod,20/11/1962,107.315,
Northfield Farm,AquiMod,21/11/1962,107.332,
Northfield Farm,AquiMod,22/11/1962,107.35,
Northfield Farm,AquiMod,23/11/1962,107.369,
Northfield Farm,AquiMod,24/11/1962,107.388,
Northfield Farm,AquiMod,25/11/1962,107.407,
Northfield Farm,AquiMod,26/11/1962,107.425,
Northfield Farm,AquiMod,27/11/1962,107.443,
Northfield Farm,AquiMod,28/11/1962,107.461,
Northfield Farm,AquiMod,29/11/1962,107.478,
Northfield Farm,AquiMod,30/11/1962,107.495,
Northfield Farm,AquiMod,01/12/1962,107.512,
Northfield Farm,AquiMod,02/12/1962,107.528,
Northfield Farm,AquiMod,03/12/1962,107.544,
Northfield Farm,AquiMod,04/12/1962,107.56,
Northfield Farm,AquiMod,05/12/1962,107.575,
Northfield Farm,AquiMod,06/12/1962,107.59,
Northfield Farm,AquiMod,07/12/1962,107.604,
Northfield Farm,AquiMod,08/12/1962,107.62,
Northfield Farm,AquiMod,09/12/1962,107.637,
Northfield Farm,AquiMod,10/12/1962,107.653,
Northfield Farm,AquiMod,11/12/1962,107.669,
Northfield Farm,AquiMod,12/12/1962,107.686,
Northfield Farm,AquiMod,13/12/1962,107.702,
Northfield Farm,AquiMod,14/12/1962,107.719,
Northfield Farm,AquiMod,15/12/1962,107.734,
Northfield Farm,AquiMod,16/12/1962,107.75,
Northfield Farm,AquiMod,17/12/1962,107.765,
Northfield Farm,AquiMod,18/12/1962,107.78,
Northfield Farm,AquiMod,19/12/1962,107.796,
Northfield Farm,AquiMod,20/12/1962,107.814,
Northfield Farm,AquiMod,21/12/1962,107.833,
Northfield Farm,AquiMod,22/12/1962,107.851,
Northfield Farm,AquiMod,23/12/1962,107.869,
Northfield Farm,AquiMod,24/12/1962,107.887,
Northfield Farm,AquiMod,25/12/1962,107.904,
Northfield Farm,AquiMod,26/12/1962,107.92,
Northfield Farm,AquiMod,27/12/1962,107.937,
Northfield Farm,AquiMod,28/12/1962,107.952,
Northfield Farm,AquiMod,29/12/1962,107.967,
Northfield Farm,AquiMod,30/12/1962,107.982,
Northfield Farm,AquiMod,31/12/1962,107.996,
Northfield Farm,AquiMod,01/01/1963,108.01,
Northfield Farm,AquiMod,02/01/1963,108.023,
Northfield Farm,AquiMod,03/01/1963,108.036,
Northfield Farm,AquiMod,04/01/1963,108.048,
Northfield Farm,AquiMod,05/01/1963,108.06,
Northfield Farm,AquiMod,06/01/1963,108.071,
Northfield Farm,AquiMod,07/01/1963,108.082,
Northfield Farm,AquiMod,08/01/1963,108.092,
Northfield Farm,AquiMod,09/01/1963,108.101,
Northfield Farm,AquiMod,10/01/1963,108.11,
Northfield Farm,AquiMod,11/01/1963,108.119,
Northfield Farm,AquiMod,12/01/1963,108.127,
Northfield Farm,AquiMod,13/01/1963,108.135,
Northfield Farm,AquiMod,14/01/1963,108.142,
Northfield Farm,AquiMod,15/01/1963,108.148,
Northfield Farm,AquiMod,16/01/1963,108.154,
Northfield Farm,AquiMod,17/01/1963,108.16,
Northfield Farm,AquiMod,18/01/1963,108.165,
Northfield Farm,AquiMod,19/01/1963,108.17,
Northfield Farm,AquiMod,20/01/1963,108.174,
Northfield Farm,AquiMod,21/01/1963,108.178,
Northfield Farm,AquiMod,22/01/1963,108.181,
Northfield Farm,AquiMod,23/01/1963,108.184,
Northfield Farm,AquiMod,24/01/1963,108.186,
Northfield Farm,AquiMod,25/01/1963,108.188,
Northfield Farm,AquiMod,26/01/1963,108.19,
Northfield Farm,AquiMod,27/01/1963,108.191,
Northfield Farm,AquiMod,28/01/1963,108.195,
Northfield Farm,AquiMod,29/01/1963,108.2,
Northfield Farm,AquiMod,30/01/1963,108.205,
Northfield Farm,AquiMod,31/01/1963,108.21,
Northfield Farm,AquiMod,01/02/1963,108.214,
Northfield Farm,AquiMod,02/02/1963,108.218,
Northfield Farm,AquiMod,03/02/1963,108.222,
Northfield Farm,AquiMod,04/02/1963,108.225,
Northfield Farm,AquiMod,05/02/1963,108.228,
Northfield Farm,AquiMod,06/02/1963,108.231,
Northfield Farm,AquiMod,07/02/1963,108.233,
Northfield Farm,AquiMod,08/02/1963,108.238,
Northfield Farm,AquiMod,09/02/1963,108.242,
Northfield Farm,AquiMod,10/02/1963,108.246,
Northfield Farm,AquiMod,11/02/1963,108.25,
Northfield Farm,AquiMod,12/02/1963,108.253,
Northfield Farm,AquiMod,13/02/1963,108.256,
Northfield Farm,AquiMod,14/02/1963,108.26,
Northfield Farm,AquiMod,15/02/1963,108.263,
Northfield Farm,AquiMod,16/02/1963,108.266,
Northfield Farm,AquiMod,17/02/1963,108.268,
Northfield Farm,AquiMod,18/02/1963,108.271,
Northfield Farm,AquiMod,19/02/1963,108.272,
Northfield Farm,AquiMod,20/02/1963,108.274,
Northfield Farm,AquiMod,21/02/1963,108.275,
Northfield Farm,AquiMod,22/02/1963,108.275,
Northfield Farm,AquiMod,23/02/1963,108.276,
Northfield Farm,AquiMod,24/02/1963,108.276,
Northfield Farm,AquiMod,25/02/1963,108.275,
Northfield Farm,AquiMod,26/02/1963,108.275,
Northfield Farm,AquiMod,27/02/1963,108.273,
Northfield Farm,AquiMod,28/02/1963,108.272,
Northfield Farm,AquiMod,01/03/1963,108.27,
Northfield Farm,AquiMod,02/03/1963,108.269,
Northfield Farm,AquiMod,03/03/1963,108.272,
Northfield Farm,AquiMod,04/03/1963,108.277,
Northfield Farm,AquiMod,05/03/1963,108.283,
Northfield Farm,AquiMod,06/03/1963,108.288,
Northfield Farm,AquiMod,07/03/1963,108.292,
Northfield Farm,AquiMod,08/03/1963,108.298,
Northfield Farm,AquiMod,09/03/1963,108.307,
Northfield Farm,AquiMod,10/03/1963,108.318,
Northfield Farm,AquiMod,11/03/1963,108.331,
Northfield Farm,AquiMod,12/03/1963,108.344,
Northfield Farm,AquiMod,13/03/1963,108.359,
Northfield Farm,AquiMod,14/03/1963,108.375,
Northfield Farm,AquiMod,15/03/1963,108.393,
Northfield Farm,AquiMod,16/03/1963,108.412,
Northfield Farm,AquiMod,17/03/1963,108.434,
Northfield Farm,AquiMod,18/03/1963,108.457,
Northfield Farm,AquiMod,19/03/1963,108.48,
Northfield Farm,AquiMod,20/03/1963,108.502,
Northfield Farm,AquiMod,21/03/1963,108.525,
Northfield Farm,AquiMod,22/03/1963,108.547,
Northfield Farm,AquiMod,23/03/1963,108.569,
Northfield Farm,AquiMod,24/03/1963,108.59,
Northfield Farm,AquiMod,25/03/1963,108.611,
Northfield Farm,AquiMod,26/03/1963,108.631,
Northfield Farm,AquiMod,27/03/1963,108.651,
Northfield Farm,AquiMod,28/03/1963,108.673,
Northfield Farm,AquiMod,29/03/1963,108.695,
Northfield Farm,AquiMod,30/03/1963,108.717,
Northfield Farm,AquiMod,31/03/1963,108.738,
Northfield Farm,AquiMod,01/04/1963,108.759,
Northfield Farm,AquiMod,02/04/1963,108.779,
Northfield Farm,AquiMod,03/04/1963,108.798,
Northfield Farm,AquiMod,04/04/1963,108.817,
Northfield Farm,AquiMod,05/04/1963,108.835,
Northfield Farm,AquiMod,06/04/1963,108.853,
Northfield Farm,AquiMod,07/04/1963,108.87,
Northfield Farm,AquiMod,08/04/1963,108.886,
Northfield Farm,AquiMod,09/04/1963,108.902,
Northfield Farm,AquiMod,10/04/1963,108.917,
Northfield Farm,AquiMod,11/04/1963,108.931,
Northfield Farm,AquiMod,12/04/1963,108.945,
Northfield Farm,AquiMod,13/04/1963,108.958,
Northfield Farm,AquiMod,14/04/1963,108.972,
Northfield Farm,AquiMod,15/04/1963,108.985,
Northfield Farm,AquiMod,16/04/1963,108.999,
Northfield Farm,AquiMod,17/04/1963,109.012,
Northfield Farm,AquiMod,18/04/1963,109.026,
Northfield Farm,AquiMod,19/04/1963,109.038,
Northfield Farm,AquiMod,20/04/1963,109.052,
Northfield Farm,AquiMod,21/04/1963,109.066,
Northfield Farm,AquiMod,22/04/1963,109.078,
Northfield Farm,AquiMod,23/04/1963,109.091,
Northfield Farm,AquiMod,24/04/1963,109.102,
Northfield Farm,AquiMod,25/04/1963,109.113,
Northfield Farm,AquiMod,26/04/1963,109.123,
Northfield Farm,AquiMod,27/04/1963,109.133,
Northfield Farm,AquiMod,28/04/1963,109.142,
Northfield Farm,AquiMod,29/04/1963,109.15,
Northfield Farm,AquiMod,30/04/1963,109.157,
Northfield Farm,AquiMod,01/05/1963,109.164,
Northfield Farm,AquiMod,02/05/1963,109.17,
Northfield Farm,AquiMod,03/05/1963,109.176,
Northfield Farm,AquiMod,04/05/1963,109.181,
Northfield Farm,AquiMod,05/05/1963,109.186,
Northfield Farm,AquiMod,06/05/1963,109.189,
Northfield Farm,AquiMod,07/05/1963,109.193,
Northfield Farm,AquiMod,08/05/1963,109.196,
Northfield Farm,AquiMod,09/05/1963,109.198,
Northfield Farm,AquiMod,10/05/1963,109.2,
Northfield Farm,AquiMod,11/05/1963,109.201,
Northfield Farm,AquiMod,12/05/1963,109.202,
Northfield Farm,AquiMod,13/05/1963,109.202,
Northfield Farm,AquiMod,14/05/1963,109.202,
Northfield Farm,AquiMod,15/05/1963,109.201,
Northfield Farm,AquiMod,16/05/1963,109.2,
Northfield Farm,AquiMod,17/05/1963,109.198,
Northfield Farm,AquiMod,18/05/1963,109.195,
Northfield Farm,AquiMod,19/05/1963,109.192,
Northfield Farm,AquiMod,20/05/1963,109.187,
Northfield Farm,AquiMod,21/05/1963,109.182,
Northfield Farm,AquiMod,22/05/1963,109.177,
Northfield Farm,AquiMod,23/05/1963,109.171,
Northfield Farm,AquiMod,24/05/1963,109.165,
Northfield Farm,AquiMod,25/05/1963,109.159,
Northfield Farm,AquiMod,26/05/1963,109.152,
Northfield Farm,AquiMod,27/05/1963,109.144,
Northfield Farm,AquiMod,28/05/1963,109.137,
Northfield Farm,AquiMod,29/05/1963,109.129,
Northfield Farm,AquiMod,30/05/1963,109.121,
Northfield Farm,AquiMod,31/05/1963,109.112,
Northfield Farm,AquiMod,01/06/1963,109.103,
Northfield Farm,AquiMod,02/06/1963,109.094,
Northfield Farm,AquiMod,03/06/1963,109.085,
Northfield Farm,AquiMod,04/06/1963,109.075,
Northfield Farm,AquiMod,05/06/1963,109.065,
Northfield Farm,AquiMod,06/06/1963,109.054,
Northfield Farm,AquiMod,07/06/1963,109.044,
Northfield Farm,AquiMod,08/06/1963,109.033,
Northfield Farm,AquiMod,09/06/1963,109.022,
Northfield Farm,AquiMod,10/06/1963,109.01,
Northfield Farm,AquiMod,11/06/1963,108.998,
Northfield Farm,AquiMod,12/06/1963,108.986,
Northfield Farm,AquiMod,13/06/1963,108.974,
Northfield Farm,AquiMod,14/06/1963,108.962,
Northfield Farm,AquiMod,15/06/1963,108.949,
Northfield Farm,AquiMod,16/06/1963,108.936,
Northfield Farm,AquiMod,17/06/1963,108.922,
Northfield Farm,AquiMod,18/06/1963,108.909,
Northfield Farm,AquiMod,19/06/1963,108.895,
Northfield Farm,AquiMod,20/06/1963,108.88,
Northfield Farm,AquiMod,21/06/1963,108.864,
